Source,Target,Weight,Type
И.М.Наумов,Г.Р.Державин,1,directed
И.М.Наумов,И.И.Дмитриев,1,directed
И.М.Наумов,ЕкатеринаII,1,directed
И.М.Наумов,Н.П.Осипов,1,directed
И.М.Наумов,А.Г.Решетников,1,directed
Д.Нащинский,Н.Н.Бантыш-Каменский,1,directed
Д.Нащинский,И.Карпинский,1,directed
Д.Нащинский,П.Г.Левшин,1,directed
Д.Нащинский,С.Г.Миславский,1,directed
Д.Нащинский,А.Могилянский,1,directed
Д.Нащинский,Е.Прокопович,1,directed
Д.Нащинский,С.И.Яворский,1,directed
М.И.Невзоров,М.И.Багрянский,1,directed
